date,value,vintage_date,realtime_start,realtime_end
2023-06-01,304.099,2025-06-11,2025-06-11,2025-06-11
2023-07-01,304.615,2025-06-11,2025-06-11,2025-06-11
2023-08-01,306.138,2025-06-11,2025-06-11,2025-06-11
2023-09-01,307.374,2025-06-11,2025-06-11,2025-06-11
2023-10-01,307.653,2025-06-11,2025-06-11,2025-06-11
2023-11-01,308.087,2025-06-11,2025-06-11,2025-06-11
2023-12-01,308.735,2025-06-11,2025-06-11,2025-06-11
2024-01-01,309.794,2025-06-11,2025-06-11,2025-06-11
2024-02-01,311.022,2025-06-11,2025-06-11,2025-06-11
2024-03-01,312.107,2025-06-11,2025-06-11,2025-06-11
2024-04-01,313.016,2025-06-11,2025-06-11,2025-06-11
2024-05-01,313.14,2025-06-11,2025-06-11,2025-06-11
2024-06-01,313.131,2025-06-11,2025-06-11,2025-06-11
2024-07-01,313.566,2025-06-11,2025-06-11,2025-06-11
2024-08-01,314.131,2025-06-11,2025-06-11,2025-06-11
2024-09-01,314.851,2025-06-11,2025-06-11,2025-06-11
2024-10-01,315.564,2025-06-11,2025-06-11,2025-06-11
2024-11-01,316.449,2025-06-11,2025-06-11,2025-06-11
2024-12-01,317.603,2025-06-11,2025-06-11,2025-06-11
2025-01-01,319.086,2025-06-11,2025-06-11,2025-06-11
2025-02-01,319.775,2025-06-11,2025-06-11,2025-06-11
2025-03-01,319.615,2025-06-11,2025-06-11,2025-06-11
2025-04-01,320.321,2025-06-11,2025-06-11,2025-06-11
2025-05-01,320.58,2025-06-11,2025-06-11,2025-06-11
2023-01-01,300.456,2025-07-15,2025-07-15,2025-07-15
2023-02-01,301.476,2025-07-15,2025-07-15,2025-07-15
2023-03-01,301.643,2025-07-15,2025-07-15,2025-07-15
2023-04-01,302.858,2025-07-15,2025-07-15,2025-07-15
2023-05-01,303.316,2025-07-15,2025-07-15,2025-07-15
2023-06-01,304.099,2025-07-15,2025-07-15,2025-07-15
2023-07-01,304.615,2025-07-15,2025-07-15,2025-07-15
2023-08-01,306.138,2025-07-15,2025-07-15,2025-07-15
2023-09-01,307.374,2025-07-15,2025-07-15,2025-07-15
2023-10-01,307.653,2025-07-15,2025-07-15,2025-07-15
2023-11-01,308.087,2025-07-15,2025-07-15,2025-07-15
2023-12-01,308.735,2025-07-15,2025-07-15,2025-07-15
2024-01-01,309.794,2025-07-15,2025-07-15,2025-07-15
2024-02-01,311.022,2025-07-15,2025-07-15,2025-07-15
2024-03-01,312.107,2025-07-15,2025-07-15,2025-07-15
2024-04-01,313.016,2025-07-15,2025-07-15,2025-07-15
2024-05-01,313.14,2025-07-15,2025-07-15,2025-07-15
2024-06-01,313.131,2025-07-15,2025-07-15,2025-07-15
2024-07-01,313.566,2025-07-15,2025-07-15,2025-07-15
2024-08-01,314.131,2025-07-15,2025-07-15,2025-07-15
2024-09-01,314.851,2025-07-15,2025-07-15,2025-07-15
2024-10-01,315.564,2025-07-15,2025-07-15,2025-07-15
2024-11-01,316.449,2025-07-15,2025-07-15,2025-07-15
2024-12-01,317.603,2025-07-15,2025-07-15,2025-07-15
2025-01-01,319.086,2025-07-15,2025-07-15,2025-07-15
2025-02-01,319.775,2025-07-15,2025-07-15,2025-07-15
2025-03-01,319.615,2025-07-15,2025-07-15,2025-07-15
2025-04-01,320.321,2025-07-15,2025-07-15,2025-07-15
2025-05-01,320.58,2025-07-15,2025-07-15,2025-07-15
2025-06-01,321.5,2025-07-15,2025-07-15,2025-07-15
2023-01-01,300.456,2025-08-12,2025-08-12,2025-08-12
2023-02-01,301.476,2025-08-12,2025-08-12,2025-08-12
2023-03-01,301.643,2025-08-12,2025-08-12,2025-08-12
2023-04-01,302.858,2025-08-12,2025-08-12,2025-08-12
2023-05-01,303.316,2025-08-12,2025-08-12,2025-08-12
2023-06-01,304.099,2025-08-12,2025-08-12,2025-08-12
2023-07-01,304.615,2025-08-12,2025-08-12,2025-08-12
2023-08-01,306.138,2025-08-12,2025-08-12,2025-08-12
2023-09-01,307.374,2025-08-12,2025-08-12,2025-08-12
2023-10-01,307.653,2025-08-12,2025-08-12,2025-08-12
2023-11-01,308.087,2025-08-12,2025-08-12,2025-08-12
2023-12-01,308.735,2025-08-12,2025-08-12,2025-08-12
2024-01-01,309.794,2025-08-12,2025-08-12,2025-08-12
2024-02-01,311.022,2025-08-12,2025-08-12,2025-08-12
2024-03-01,312.107,2025-08-12,2025-08-12,2025-08-12
2024-04-01,313.016,2025-08-12,2025-08-12,2025-08-12
2024-05-01,313.14,2025-08-12,2025-08-12,2025-08-12
2024-06-01,313.131,2025-08-12,2025-08-12,2025-08-12
2024-07-01,313.566,2025-08-12,2025-08-12,2025-08-12
2024-08-01,314.131,2025-08-12,2025-08-12,2025-08-12
2024-09-01,314.851,2025-08-12,2025-08-12,2025-08-12
2024-10-01,315.564,2025-08-12,2025-08-12,2025-08-12
2024-11-01,316.449,2025-08-12,2025-08-12,2025-08-12
2024-12-01,317.603,2025-08-12,2025-08-12,2025-08-12
2025-01-01,319.086,2025-08-12,2025-08-12,2025-08-12
2025-02-01,319.775,2025-08-12,2025-08-12,2025-08-12
2025-03-01,319.615,2025-08-12,2025-08-12,2025-08-12
2025-04-01,320.321,2025-08-12,2025-08-12,2025-08-12
2025-05-01,320.58,2025-08-12,2025-08-12,2025-08-12
2025-06-01,321.5,2025-08-12,2025-08-12,2025-08-12
2025-07-01,322.132,2025-08-12,2025-08-12,2025-08-12
2023-01-01,300.456,2025-09-11,2025-09-11,2025-09-11
2023-02-01,301.476,2025-09-11,2025-09-11,2025-09-11
2023-03-01,301.643,2025-09-11,2025-09-11,2025-09-11
2023-04-01,302.858,2025-09-11,2025-09-11,2025-09-11
2023-05-01,303.316,2025-09-11,2025-09-11,2025-09-11
2023-06-01,304.099,2025-09-11,2025-09-11,2025-09-11
2023-07-01,304.615,2025-09-11,2025-09-11,2025-09-11
2023-08-01,306.138,2025-09-11,2025-09-11,2025-09-11
2023-09-01,307.374,2025-09-11,2025-09-11,2025-09-11
2023-10-01,307.653,2025-09-11,2025-09-11,2025-09-11
2023-11-01,308.087,2025-09-11,2025-09-11,2025-09-11
2023-12-01,308.735,2025-09-11,2025-09-11,2025-09-11
2024-01-01,309.794,2025-09-11,2025-09-11,2025-09-11
2024-02-01,311.022,2025-09-11,2025-09-11,2025-09-11
2024-03-01,312.107,2025-09-11,2025-09-11,2025-09-11
2024-04-01,313.016,2025-09-11,2025-09-11,2025-09-11
2024-05-01,313.14,2025-09-11,2025-09-11,2025-09-11
2024-06-01,313.131,2025-09-11,2025-09-11,2025-09-11
2024-07-01,313.566,2025-09-11,2025-09-11,2025-09-11
2024-08-01,314.131,2025-09-11,2025-09-11,2025-09-11
2024-09-01,314.851,2025-09-11,2025-09-11,2025-09-11
2024-10-01,315.564,2025-09-11,2025-09-11,2025-09-11
2024-11-01,316.449,2025-09-11,2025-09-11,2025-09-11
2024-12-01,317.603,2025-09-11,2025-09-11,2025-09-11
2025-01-01,319.086,2025-09-11,2025-09-11,2025-09-11
2025-02-01,319.775,2025-09-11,2025-09-11,2025-09-11
2025-03-01,319.615,2025-09-11,2025-09-11,2025-09-11
2025-04-01,320.321,2025-09-11,2025-09-11,2025-09-11
2025-05-01,320.58,2025-09-11,2025-09-11,2025-09-11
2025-06-01,321.5,2025-09-11,2025-09-11,2025-09-11
2025-07-01,322.132,2025-09-11,2025-09-11,2025-09-11
2025-08-01,323.364,2025-09-11,2025-09-11,2025-09-11
2023-01-01,300.456,2025-10-24,2025-10-24,2025-10-24
2023-02-01,301.476,2025-10-24,2025-10-24,2025-10-24
2023-03-01,301.643,2025-10-24,2025-10-24,2025-10-24
2023-04-01,302.858,2025-10-24,2025-10-24,2025-10-24
2023-05-01,303.316,2025-10-24,2025-10-24,2025-10-24
2023-06-01,304.099,2025-10-24,2025-10-24,2025-10-24
2023-07-01,304.615,2025-10-24,2025-10-24,2025-10-24
2023-08-01,306.138,2025-10-24,2025-10-24,2025-10-24
2023-09-01,307.374,2025-10-24,2025-10-24,2025-10-24
2023-10-01,307.653,2025-10-24,2025-10-24,2025-10-24
2023-11-01,308.087,2025-10-24,2025-10-24,2025-10-24
2023-12-01,308.735,2025-10-24,2025-10-24,2025-10-24
2024-01-01,309.794,2025-10-24,2025-10-24,2025-10-24
2024-02-01,311.022,2025-10-24,2025-10-24,2025-10-24
2024-03-01,312.107,2025-10-24,2025-10-24,2025-10-24
2024-04-01,313.016,2025-10-24,2025-10-24,2025-10-24
2024-05-01,313.14,2025-10-24,2025-10-24,2025-10-24
2024-06-01,313.131,2025-10-24,2025-10-24,2025-10-24
2024-07-01,313.566,2025-10-24,2025-10-24,2025-10-24
2024-08-01,314.131,2025-10-24,2025-10-24,2025-10-24
2024-09-01,314.851,2025-10-24,2025-10-24,2025-10-24
2024-10-01,315.564,2025-10-24,2025-10-24,2025-10-24
2024-11-01,316.449,2025-10-24,2025-10-24,2025-10-24
2024-12-01,317.603,2025-10-24,2025-10-24,2025-10-24
2025-01-01,319.086,2025-10-24,2025-10-24,2025-10-24
2025-02-01,319.775,2025-10-24,2025-10-24,2025-10-24
2025-03-01,319.615,2025-10-24,2025-10-24,2025-10-24
2025-04-01,320.321,2025-10-24,2025-10-24,2025-10-24
2025-05-01,320.58,2025-10-24,2025-10-24,2025-10-24
2025-06-01,321.5,2025-10-24,2025-10-24,2025-10-24
2025-07-01,322.132,2025-10-24,2025-10-24,2025-10-24
2025-08-01,323.364,2025-10-24,2025-10-24,2025-10-24
2025-09-01,324.368,2025-10-24,2025-10-24,2025-10-24
2023-01-01,300.456,2025-12-18,2025-12-18,2025-12-18
2023-02-01,301.476,2025-12-18,2025-12-18,2025-12-18
2023-03-01,301.643,2025-12-18,2025-12-18,2025-12-18
2023-04-01,302.858,2025-12-18,2025-12-18,2025-12-18
2023-05-01,303.316,2025-12-18,2025-12-18,2025-12-18
2023-06-01,304.099,2025-12-18,2025-12-18,2025-12-18
2023-07-01,304.615,2025-12-18,2025-12-18,2025-12-18
2023-08-01,306.138,2025-12-18,2025-12-18,2025-12-18
2023-09-01,307.374,2025-12-18,2025-12-18,2025-12-18
2023-10-01,307.653,2025-12-18,2025-12-18,2025-12-18
2023-11-01,308.087,2025-12-18,2025-12-18,2025-12-18
2023-12-01,308.735,2025-12-18,2025-12-18,2025-12-18
2024-01-01,309.794,2025-12-18,2025-12-18,2025-12-18
2024-02-01,311.022,2025-12-18,2025-12-18,2025-12-18
2024-03-01,312.107,2025-12-18,2025-12-18,2025-12-18
2024-04-01,313.016,2025-12-18,2025-12-18,2025-12-18
2024-05-01,313.14,2025-12-18,2025-12-18,2025-12-18
2024-06-01,313.131,2025-12-18,2025-12-18,2025-12-18
2024-07-01,313.566,2025-12-18,2025-12-18,2025-12-18
2024-08-01,314.131,2025-12-18,2025-12-18,2025-12-18
2024-09-01,314.851,2025-12-18,2025-12-18,2025-12-18
2024-10-01,315.564,2025-12-18,2025-12-18,2025-12-18
2024-11-01,316.449,2025-12-18,2025-12-18,2025-12-18
2024-12-01,317.603,2025-12-18,2025-12-18,2025-12-18
2025-01-01,319.086,2025-12-18,2025-12-18,2025-12-18
2025-02-01,319.775,2025-12-18,2025-12-18,2025-12-18
2025-03-01,319.615,2025-12-18,2025-12-18,2025-12-18
2025-04-01,320.321,2025-12-18,2025-12-18,2025-12-18
2025-05-01,320.58,2025-12-18,2025-12-18,2025-12-18
2025-06-01,321.5,2025-12-18,2025-12-18,2025-12-18
2025-07-01,322.132,2025-12-18,2025-12-18,2025-12-18
2025-08-01,323.364,2025-12-18,2025-12-18,2025-12-18
2025-09-01,324.368,2025-12-18,2025-12-18,2025-12-18
2025-10-01,,2025-12-18,2025-12-18,2025-12-18
2025-11-01,325.031,2025-12-18,2025-12-18,2025-12-18
2023-01-01,300.456,2026-01-13,2026-01-13,2026-01-13
2023-02-01,301.476,2026-01-13,2026-01-13,2026-01-13
2023-03-01,301.643,2026-01-13,2026-01-13,2026-01-13
2023-04-01,302.858,2026-01-13,2026-01-13,2026-01-13
2023-05-01,303.316,2026-01-13,2026-01-13,2026-01-13
2023-06-01,304.099,2026-01-13,2026-01-13,2026-01-13
2023-07-01,304.615,2026-01-13,2026-01-13,2026-01-13
2023-08-01,306.138,2026-01-13,2026-01-13,2026-01-13
2023-09-01,307.374,2026-01-13,2026-01-13,2026-01-13
2023-10-01,307.653,2026-01-13,2026-01-13,2026-01-13
2023-11-01,308.087,2026-01-13,2026-01-13,2026-01-13
2023-12-01,308.735,2026-01-13,2026-01-13,2026-01-13
2024-01-01,309.794,2026-01-13,2026-01-13,2026-01-13
